time,t2m,d2m,strd,tp,sp,ssrd,Ws
22-Dec-2019 10:00:00,271.314054285551,269.136605982402,8234855.18205713,0.00165209021745139,63000.1977884711,12202264.6818549,0.467334373922703
22-Dec-2019 11:00:00,270.279338409471,268.735292400558,8971497.15478461,0.0016809729135607,63035.4929271083,12210527.6934674,0.731436307978441
22-Dec-2019 12:00:00,269.51494017881,268.05096289719,9728294.38007569,0.00169830253122627,63061.4998713673,12210527.6934674,0.940810835822692
22-Dec-2019 13:00:00,268.891707829647,267.164479164161,10480540.419304,0.00172140868811368,63073.574524059,12210527.6934674,1.10390275519344
22-Dec-2019 14:00:00,268.277486068664,266.29746213473,11199627.817218,0.00173873830577928,63081.0050795615,12210527.6934674,1.243965745778
22-Dec-2019 15:00:00,267.753370189488,265.425952789083,11929768.0955702,0.00174451484500113,63093.0797322532,12210527.6934674,1.36674424044772
22-Dec-2019 16:00:00,267.15566784017,264.606853799275,12678763.2876108,0.00175029138422297,63102.3679266314,12210527.6934674,1.44242004003132
22-Dec-2019 17:00:00,266.877841371266,263.934503805812,13384197.1273366,0.00175029138422297,63088.4356350641,12210527.6934674,1.48864991397715
22-Dec-2019 18:00:00,263.419277274584,261.209165302245,14137093.3360025,0.00175606792344485,63059.6422324916,12210527.6934674,1.69757211581545
22-Dec-2019 19:00:00,261.867954342811,259.873449947749,14876986.1559176,0.00175606792344485,63060.5710519295,12210527.6934674,1.78184343034912
22-Dec-2019 20:00:00,260.382709057697,258.299641833875,15622080.3313331,0.00175606792344485,63049.4252186756,12210527.6934674,1.87415077551331
22-Dec-2019 21:00:00,259.510183768868,257.291865563051,16357421.9651855,0.0017618444626667,63038.2793854217,12210527.6934674,1.93008926469769
22-Dec-2019 22:00:00,258.320786129019,256.27210978232,17129823.2569774,0.0017618444626667,63068.001607432,12210527.6934674,1.97549353753176
22-Dec-2019 23:00:00,258.11954965965,256.077442746351,17880118.7878931,0.0017618444626667,63098.6526488801,12210527.6934674,1.98355339325346
23-Dec-2019 00:00:00,258.526527892478,256.336499648064,18620661.7772458,0.0017618444626667,63216.6127174835,12210527.6934674,2.00795544644785
23-Dec-2019 01:00:00,259.394547887216,256.835146747892,729949.364587307,0,63299.2776474496,164158.497367736,1.92516597639264
23-Dec-2019 02:00:00,262.576787279691,259.490105630764,1519905.23119268,0,63387.5154940426,917745.156425003,1.74318375685302
23-Dec-2019 03:00:00,268.238440186548,264.139652912949,2317663.13104848,0,63473.89570176,2330720.14215738,1.4532784625756
23-Dec-2019 04:00:00,271.456721931745,266.957832618286,3137526.79178048,0,63504.5467432081,4255450.98042207,1.16751729313785
23-Dec-2019 05:00:00,273.368468390745,267.573279939697,3904726.72807212,0,63449.7463963766,6575704.64120367,0.741626494293306
23-Dec-2019 06:00:00,274.40618779622,267.396582168586,4610160.5677979,0,63422.8106326798,9024861.28313979,0.0621013039841669
23-Dec-2019 07:00:00,274.153891327161,268.280071024138,5311043.22146094,0,63368.9391052862,11245958.8045717,0.146310443818803
23-Dec-2019 08:00:00,273.757425447211,268.922472242836,6009325.19737384,0,63358.7220914701,13023057.1686936,0.130090357712158
23-Dec-2019 09:00:00,273.197267215312,268.943436385171,6714759.03709963,0,63389.3731329182,14136911.1340546,0.217631247891305
23-Dec-2019 10:00:00,272.195590162561,268.663415341124,7413041.01301253,0,63423.7394521176,14537942.6309798,0.353971909644907
23-Dec-2019 11:00:00,270.756899583046,268.100378375551,8106771.80286268,5.77653922184673e-06,63453.4616741279,14547307.3774739,0.598037491735939
23-Dec-2019 12:00:00,269.418827238216,267.302243528078,8797251.74552516,1.7329617665568e-05,63478.5397989491,14547307.3774739,0.769203621987846
23-Dec-2019 13:00:00,268.450189008794,266.325913470756,9513738.46568904,0.000121307323659003,63477.6109795113,14547307.3774739,0.931370815892955
23-Dec-2019 14:00:00,267.960613717644,265.282198670214,10278987.8936681,0.000236838108096188,63468.3227851331,14547307.3774739,1.03055447183295
23-Dec-2019 15:00:00,267.778900189334,264.262442889483,11119656.9764012,0.000837598187169414,63466.4651462574,14547307.3774739,1.05268669291741
23-Dec-2019 16:00:00,267.696303131011,263.575118508639,11890107.7598805,0.000849151265613135,63441.3870214362,14547307.3774739,1.13553168277401
23-Dec-2019 17:00:00,267.974129599915,262.998604594422,12750932.0951772,0.00087225742250055,63407.9495216747,14547307.3774739,1.1277851547399
23-Dec-2019 18:00:00,267.763882542366,262.170520972184,13494075.7622801,0.000883810500944271,63361.5085497836,14547307.3774739,1.16338228353055
23-Dec-2019 19:00:00,266.430315491626,263.516718397848,14281430.9511353,0.00111487206981861,63328.9998694598,14547307.3774739,1.27015325935725
23-Dec-2019 20:00:00,266.065386670309,263.040532879093,15010270.8906124,0.00138059287402406,63300.2064668874,14547307.3774739,1.30428779948451
23-Dec-2019 21:00:00,265.689945496114,262.531403708096,15718955.5775258,0.00158854828601096,63270.4842448771,14547307.3774739,1.36013113567002
23-Dec-2019 22:00:00,264.79639550153,261.957884671357,16439993.4837525,0.00172718522733556,63245.4061200559,14547307.3774739,1.43811279918293
23-Dec-2019 23:00:00,264.381908445219,261.535606947177,17183787.3202928,0.00181383331566343,63245.4061200559,14547307.3774739,1.49436949753865
24-Dec-2019 00:00:00,264.972101971053,260.786887578065,17906775.7348321,0.00185426909021644,63291.847091947,14547307.3774739,1.4896980136787
24-Dec-2019 01:00:00,264.590653738072,260.297225110666,725398.178524561,3.46592353311359e-05,63307.63702239,168565.436894387,1.53993907345715
24-Dec-2019 02:00:00,266.35372549209,262.008797588456,1488046.92875345,5.77653922185783e-05,63356.8644525945,931516.842445787,1.50722939156337
24-Dec-2019 03:00:00,268.001161364457,263.965950019315,2344970.24742496,5.77653922185783e-05,63391.2307717939,2199062.82379869,1.3982691407216
24-Dec-2019 04:00:00,270.653277818969,266.504108680605,3201893.56609647,5.77653922185783e-05,63368.9391052862,3952473.88796484,1.15151139414672
24-Dec-2019 05:00:00,272.257162515129,267.583762010864,4041912.47939206,5.77653922185783e-05,63276.057161504,6073313.53516549,0.938765947272742
24-Dec-2019 06:00:00,272.952479569737,267.209402326308,4852023.59856103,5.77653922185783e-05,63211.0398008565,8331319.17513314,0.572933452438031
24-Dec-2019 07:00:00,273.051596039725,267.119556002015,5575662.18253781,5.77653922185783e-05,63128.3748708904,10515508.5780294,0.484268176660979
24-Dec-2019 08:00:00,272.863875452627,267.869772809865,6294749.58045183,5.77653922185783e-05,63094.008551691,12235316.7283048,0.406496693545118
24-Dec-2019 09:00:00,272.509458984188,267.895229268415,7022939.35049136,6.35419314404251e-05,63110.7273015718,13319423.8518609,0.458641303577672
24-Dec-2019 10:00:00,271.803629576701,267.516377267644,7740076.24009278,6.35419314404251e-05,63121.8731348257,13714946.6743778,0.559881790529315
24-Dec-2019 11:00:00,270.62924958382,266.963822373239,8454612.45194406,6.35419314404251e-05,63138.5918847065,13724862.2883128,0.753876326230904
24-Dec-2019 12:00:00,269.318209003532,266.218097881604,9168498.4943578,6.35419314404251e-05,63172.029384468,13724862.2883128,0.906918661759551
24-Dec-2019 13:00:00,268.244447245335,265.384024504413,9886935.7228343,6.35419314404251e-05,63165.5276484033,13724862.2883128,1.05095054823167
24-Dec-2019 14:00:00,267.657257248894,264.41667907952,10613825.1539987,6.35419314404251e-05,63166.4564678411,13724862.2883128,1.15138495166951
24-Dec-2019 15:00:00,267.137646663809,263.618544232047,11344615.6017884,0.00010975424521531,63151.595356836,13724862.2883128,1.25320480143144
24-Dec-2019 16:00:00,266.66158725493,262.773988783689,12038996.5610761,0.00010975424521531,63123.7307737013,13724862.2883128,1.34583293083403
